ITEM,TITLE,seriesid,DATA_TYPE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SA0,All items,CUSR0000SA0,SEASONALLY ADJUSTED INDEX,2014,235.288,235.547,236.028,236.468,236.918,237.231,237.498,237.46,237.477,237.43,236.983,236.252
SA0,All items,CUSR0000SA0,SEASONALLY ADJUSTED INDEX,2015,234.718,235.236,236.005,236.156,236.974,237.684,238.053,238.028,237.506,237.781,238.016,237.817
SA0,All items,CUSR0000SA0,SEASONALLY ADJUSTED INDEX,2016,237.833,237.469,238.038,238.827,239.464,240.167,240.15,240.602,241.051,241.691,242.029,242.772
SA0,All items,CUSR0000SA0,SEASONALLY ADJUSTED INDEX,2017,243.78,243.961,243.749,244.051,243.962,244.182,244.39,245.297,246.418,246.587,247.332,247.901
SA0,All items,CUSR0000SA0,SEASONALLY ADJUSTED INDEX,2018,248.884,249.369,249.498,249.956,250.646,251.134,251.597,251.879,252.01,252.794,252.76,252.723
SA0,All items,CUSR0000SA0,SEASONAL FACTOR,2014,99.417,99.675,100.112,100.255,100.414,100.469,100.317,100.165,100.233,100.001,99.649,99.39
SA0,All items,CUSR0000SA0,SEASONAL FACTOR,2015,99.569,99.781,100.048,100.188,100.351,100.401,100.252,100.121,100.185,100.024,99.714,99.457
SA0,All items,CUSR0000SA0,SEASONAL FACTOR,2016,99.614,99.849,100.039,100.182,100.319,100.354,100.199,100.103,100.156,100.016,99.721,99.448
SA0,All items,CUSR0000SA0,SEASONAL FACTOR,2017,99.614,99.853,100.021,100.194,100.316,100.317,100.162,100.091,100.163,100.031,99.732,99.445
SA0,All items,CUSR0000SA0,SEASONAL FACTOR,2018,99.591,99.848,100.022,100.236,100.376,100.34,100.163,100.106,100.17,100.036,99.714,99.41
SA0,All items,CUSR0000SA0,UNADJUSTED INDEX,2014,233.916,234.781,236.293,237.072,237.9,238.343,238.25,237.852,238.031,237.433,236.151,234.812
SA0,All items,CUSR0000SA0,UNADJUSTED INDEX,2015,233.707,234.722,236.119,236.599,237.805,238.638,238.654,238.316,237.945,237.838,237.336,236.525
SA0,All items,CUSR0000SA0,UNADJUSTED INDEX,2016,236.916,237.111,238.132,239.261,240.229,241.018,240.628,240.849,241.428,241.729,241.353,241.432
SA0,All items,CUSR0000SA0,UNADJUSTED INDEX,2017,242.839,243.603,243.801,244.524,244.733,244.955,244.786,245.519,246.819,246.663,246.669,246.524
SA0,All items,CUSR0000SA0,UNADJUSTED INDEX,2018,247.867,248.991,249.554,250.546,251.588,251.989,252.006,252.146,252.439,252.885,252.038,251.233
SA0E,Energy,CUSR0000SA0E,SEASONALLY ADJUSTED INDEX,2014,250.34,249.925,249.961,249.864,249.213,249.714,248.744,245.699,241.61,237.061,229.016,218.536
SA0E,Energy,CUSR0000SA0E,SEASONALLY ADJUSTED INDEX,2015,199.471,202.079,206.148,202.898,209.12,212.476,212.324,208.87,197.324,196.014,194.365,190.299
SA0E,Energy,CUSR0000SA0E,SEASONALLY ADJUSTED INDEX,2016,186.122,176.407,181.074,185.405,188.401,193.068,190.089,189.795,191.772,195.824,195.519,200.266
SA0E,Energy,CUSR0000SA0E,SEASONALLY ADJUSTED INDEX,2017,206.048,203.17,201.526,202.399,198.596,198.265,197.349,202.338,211.137,207.771,213.134,214.055
SA0E,Energy,CUSR0000SA0E,SEASONALLY ADJUSTED INDEX,2018,217.542,218.955,215.801,217.69,220.967,222.361,222.269,223.341,221.077,225.612,219.295,213.565
