"TITLE","DATA_TYPE","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"Alcoholic beverages","SEASONAL FACTOR",2014,100.131,100.269,100.196,100.109,100.112,99.88,99.867,99.845,99.83,99.966,99.906,99.932
"Alcoholic beverages","SEASONAL FACTOR",2014,100.2,100.251,100.214,100.159,100.066,99.89,99.779,99.767,99.748,99.939,100.004,100.039
"Alcoholic beverages","SEASONAL FACTOR",2015,100.134,100.258,100.201,100.141,100.071,99.848,99.806,99.796,99.841,100.024,99.978,99.95
"Alcoholic beverages","SEASONAL FACTOR",2015,100.187,100.224,100.209,100.182,100.034,99.858,99.755,99.744,99.764,100,100.061,100.039
"Alcoholic beverages","SEASONAL FACTOR",2016,100.134,100.247,100.199,100.173,100.025,99.837,99.751,99.742,99.852,100.076,100.04,99.957
"Alcoholic beverages","SEASONAL FACTOR",2016,100.168,100.199,100.204,100.206,100.006,99.843,99.728,99.713,99.779,100.051,100.113,100.03
"Alcoholic beverages","SEASONAL FACTOR",2017,100.132,100.249,100.193,100.197,99.977,99.846,99.715,99.684,99.875,100.111,100.086,99.956
"Alcoholic beverages","SEASONAL FACTOR",2017,100.146,100.19,100.206,100.218,99.98,99.854,99.704,99.672,99.801,100.083,100.152,100.019
"Alcoholic beverages","SEASONAL FACTOR",2018,100.13,100.25,100.189,100.22,99.936,99.853,99.699,99.648,99.892,100.125,100.118,99.955
"Alcoholic beverages","SEASONAL FACTOR",2018,100.127,100.189,100.209,100.229,99.958,99.861,99.69,99.647,99.814,100.098,100.18,100.012
"Alcoholic beverages","SEASONAL FACTOR",2019,99.949,100.163,100.093,100.101,99.973,100.056,99.871,99.966,99.991,100.066,99.984,99.805
"Alcoholic beverages","SEASONAL FACTOR",2019,99.944,100.114,100.067,100.144,99.958,100.083,99.956,99.988,99.956,100.017,99.992,99.777
"Alcoholic beverages","SEASONAL FACTOR",2020,99.91,100.127,100.066,100.081,100.009,100.106,99.912,100.024,100.016,100.034,99.94,99.786
"Alcoholic beverages","SEASONAL FACTOR",2020,99.856,100.074,100.051,100.147,100.012,100.176,100.025,100.047,99.983,99.935,99.923,99.756
"Alcoholic beverages","SEASONAL FACTOR",2021,99.876,100.099,100.046,100.075,100.055,100.143,99.932,100.051,100.018,100.015,99.911,99.795
"Alcoholic beverages","SEASONAL FACTOR",2021,99.832,100.059,100.049,100.107,100.059,100.22,100.058,100.082,100.022,99.885,99.853,99.743
"Alcoholic beverages","SEASONAL FACTOR",2022,99.86,100.074,100.025,100.077,100.09,100.155,99.94,100.062,100.027,100.007,99.888,99.802
"Alcoholic beverages","SEASONAL FACTOR",2022,99.823,100.081,100.062,100.098,100.09,100.226,100.036,100.09,100.021,99.859,99.837,99.758
"Alcoholic beverages","SEASONAL FACTOR",2023,99.85,100.059,100.02,100.088,100.099,100.161,99.94,100.061,100.032,99.997,99.885,99.813
"Alcoholic beverages","SEASONAL FACTOR",2023,99.843,100.11,100.055,100.075,100.105,100.218,100.015,100.096,100.026,99.874,99.821,99.758
"Apparel","SEASONAL FACTOR",2014,97.179,98.597,101.137,101.69,100.931,99.469,97.423,98.719,101.965,103.287,101.39,97.872
"Apparel","SEASONAL FACTOR",2014,97.334,98.79,101.095,101.678,100.994,99.515,97.518,98.629,101.757,103.055,101.276,97.966
"Apparel","SEASONAL FACTOR",2015,97.143,98.779,101.229,101.782,100.993,99.519,97.564,98.736,101.992,103.27,101.052,97.473
"Apparel","SEASONAL FACTOR",2015,97.323,98.947,101.235,101.785,101.075,99.55,97.684,98.596,101.795,103.063,100.881,97.52
"Apparel","SEASONAL FACTOR",2016,97.22,99.032,101.313,101.853,101.038,99.514,97.737,98.821,101.996,103.169,100.727,97.178
"Apparel","SEASONAL FACTOR",2016,97.382,99.184,101.388,101.913,101.101,99.49,97.809,98.589,101.847,103.076,100.532,97.249
"Apparel","SEASONAL FACTOR",2017,97.201,99.244,101.44,101.999,101.152,99.527,97.781,98.797,101.961,103.122,100.497,96.936
"Apparel","SEASONAL FACTOR",2017,97.337,99.428,101.562,102.069,101.228,99.501,97.845,98.498,101.838,103.065,100.29,96.987
"Apparel","SEASONAL FACTOR",2018,97.192,99.41,101.534,102.118,101.243,99.572,97.843,98.823,101.919,103.065,100.325,96.747
"Apparel","SEASONAL FACTOR",2018,97.228,99.633,101.735,102.243,101.355,99.529,97.814,98.422,101.826,103.073,100.143,96.785
"Apparel","SEASONAL FACTOR",2019,98.358,100.887,101.713,101.324,100.537,99.198,97.94,99.285,101.774,102.158,99.544,96.949
"Apparel","SEASONAL FACTOR",2019,98.272,101.114,101.836,101.359,100.598,99.166,97.752,99.09,101.696,102.142,99.624,97.079
"Apparel","SEASONAL FACTOR",2020,98.598,101.127,101.801,101.109,100.389,99.218,98.012,99.438,101.779,101.878,99.284,97.026
"Apparel","SEASONAL FACTOR",2020,98.597,101.288,101.81,101.101,100.433,99.24,97.95,99.312,101.66,101.791,99.388,97.151
"Apparel","SEASONAL FACTOR",2021,98.803,101.349,101.91,100.908,100.325,99.305,98.159,99.63,101.731,101.63,98.976,96.941
"Apparel","SEASONAL FACTOR",2021,98.787,101.435,101.892,100.951,100.379,99.339,98.086,99.496,101.605,101.53,99.139,97.055
"Apparel","SEASONAL FACTOR",2022,98.911,101.466,101.994,100.818,100.332,99.448,98.319,99.785,101.682,101.461,98.694,96.837
"Apparel","SEASONAL FACTOR",2022,98.83,101.484,101.976,100.942,100.409,99.5,98.207,99.618,101.563,101.373,98.919,96.944
"Apparel","SEASONAL FACTOR",2023,98.965,101.579,102.171,100.869,100.376,99.561,98.412,99.851,101.648,101.357,98.401,96.64
"Apparel","SEASONAL FACTOR",2023,98.864,101.594,102.14,101.047,100.451,99.617,98.262,99.647,101.52,101.301,98.688,96.738
"Education","SEASONAL FACTOR",2014,100.132,99.883,99.712,99.507,99.362,99.273,99.395,100.269,100.84,100.758,100.553,100.282
